# 885611.TI 阿里巴巴概念
time,close,amount
2025-06-13,1699.834,123008200000.0
2025-06-16,1741.066,118867676000.0
2025-06-17,1739.592,124587986000.0
2025-06-18,1731.929,114583721000.0
2025-06-19,1700.398,117355622000.0
2025-06-20,1664.344,91579894000.0
2025-06-23,1701.889,95229335000.0
2025-06-24,1748.601,129748748000.0
2025-06-25,1782.758,159245560000.0
2025-06-26,1785.003,163080810000.0
2025-06-27,1792.229,149251210000.0
2025-06-30,1818.742,139371090000.0
2025-07-01,1801.935,131229701000.0
2025-07-02,1777.222,108008382000.0
2025-07-03,1784.244,91159760000.0
2025-07-04,1783.002,127650447000.0
2025-07-07,1796.086,106901991000.0
2025-07-08,1823.488,130438727000.0
2025-07-09,1822.274,134503610000.0
2025-07-10,1821.709,129720655000.0
2025-07-11,1842.498,159866430000.0
2025-07-14,1837.634,132951421000.0
2025-07-15,1847.035,161918960000.0
2025-07-16,1856.318,152414960000.0
2025-07-17,1871.424,160748990000.0
2025-07-18,1871.078,156356550000.0
2025-07-21,1876.439,135778220000.0
2025-07-22,1865.912,137882820000.0
2025-07-23,1858.286,131414654000.0
2025-07-24,1883.153,127815553000.0
2025-07-25,1902.409,164363120000.0
2025-07-28,1903.421,152844180000.0
2025-07-29,1907.379,144563490000.0
2025-07-30,1887.223,143625500000.0
2025-07-31,1889.596,177709640000.0
2025-08-01,1904.087,168307690000.0
2025-08-04,1918.936,138262300000.0
2025-08-05,1922.268,133078556000.0
2025-08-06,1943.195,159497820000.0
2025-08-07,1948.363,160864200000.0
2025-08-08,1922.001,157026880000.0
2025-08-11,1954.712,151154870000.0
2025-08-12,1963.936,177429360000.0
2025-08-13,1985.228,210172330000.0
2025-08-14,1965.643,231830580000.0
2025-08-15,2003.326,213982020000.0
2025-08-18,2058.375,292688740000.0
2025-08-19,2069.188,284826350000.0
2025-08-20,2078.279,247087010000.0
2025-08-21,2074.684,260797170000.0
2025-08-22,2110.316,283786100000.0
2025-08-25,2138.172,344479940000.0
2025-08-26,2153.013,289292950000.0
2025-08-27,2113.227,374804530000.0
2025-08-28,2132.255,335815400000.0
2025-08-29,2104.248,281346170000.0
2025-09-01,2132.801,287887360000.0
2025-09-02,2062.099,306099780000.0
2025-09-03,2016.973,249286880000.0
2025-09-04,1983.536,252309700000.0
2025-09-05,2030.836,216471600000.0
2025-09-08,2049.197,215004770000.0
2025-09-09,2021.735,200609260000.0
2025-09-10,2039.864,205987050000.0
2025-09-11,2087.204,267077330000.0
2025-09-12,2092.32,285492480000.0
2025-09-15,2088.609,250712850000.0
2025-09-16,2115.545,250468380000.0
2025-09-17,2117.923,235460050000.0
2025-09-18,2087.968,320173900000.0
2025-09-19,2070.452,250451200000.0
2025-09-22,2085.582,232951630000.0
2025-09-23,2040.289,272172570000.0
2025-09-24,2071.474,232354950000.0
2025-09-25,2082.662,265478530000.0
2025-09-26,2032.557,215996160000.0
2025-09-29,2045.13,180883760000.0
2025-09-30,2064.132,202374430000.0
2025-10-09,2073.486,254484260000.0
2025-10-10,2036.529,218869180000.0
2025-10-13,2019.751,190126460000.0
2025-10-14,1984.048,199845540000.0
2025-10-15,2018.534,168042680000.0
2025-10-16,1998.513,172946730000.0
2025-10-17,1940.466,171392800000.0
2025-10-20,1965.431,151070140000.0
2025-10-21,1995.252,159169180000.0
2025-10-22,1985.566,144143890000.0
2025-10-23,1992.337,135798010000.0
2025-10-24,2010.619,164571110000.0
2025-10-27,2017.734,189715020000.0
2025-10-28,2020.71,187870350000.0
2025-10-29,2032.284,183003300000.0
2025-10-30,2004.553,206606480000.0
2025-10-31,2035.151,199341230000.0
2025-11-03,2060.298,186721130000.0
2025-11-04,2040.144,167715500000.0
2025-11-05,2043.774,167173230000.0
2025-11-06,2044.322,180849480000.0
2025-11-07,2023.702,159381200000.0
2025-11-10,2038.147,168520270000.0
2025-11-11,2024.375,161422740000.0
2025-11-12,2007.025,146397380000.0
2025-11-13,2035.857,148240770000.0
2025-11-14,2007.013,147739130000.0
2025-11-17,2034.096,168562350000.0
2025-11-18,2051.294,200189190000.0
2025-11-19,2018.846,171945590000.0
2025-11-20,2001.209,155421230000.0
2025-11-21,1950.198,195351660000.0
2025-11-24,2002.912,209101880000.0
2025-11-25,2038.138,235316320000.0
2025-11-26,2037.422,210732570000.0
2025-11-27,2020.532,192158680000.0
2025-11-28,2033.948,168263510000.0
2025-12-01,2047.306,194733230000.0
2025-12-02,2030.709,169397050000.0
