序号,代码,名称,上榜日,解读,收盘价,涨跌幅,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜成交额,市场总成交额,净买额占总成交比,成交额占总成交比,换手率,流通市值,上榜原因,上榜后1日,上榜后2日,上榜后5日,上榜后10日
1,000002,万科A,2026-09-22,主力做T，成功率15.13%,3.81,4.3836,124492182.78,1061260025.45,936767842.67,1998027868.12,7389607169.0,1.684692838643,27.038350245489,8.4387,37014581116.74,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
2,000560,我爱我家,2026-09-22,买一主买，成功率34.70%,3.51,10.0313,218564238.01,467641031.0,249076792.99,716717823.99,2717325290.0,8.043359358349,26.375856678904,17.4198,8222835297.69,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
3,000560,我爱我家,2026-09-22,买一主买，成功率44.28%,3.51,10.0313,72378896.62,274616275.3,202237378.68,476853653.98,1412921349.0,5.12264158732,33.749483247422,17.4198,8222835297.69,日涨幅偏离值达到7%的前5只证券,,,,
4,000607,华媒控股,2026-09-22,1家机构买入，成功率44.73%,4.98,9.9338,4155699.48,95513963.0,91358263.52,186872226.52,423040393.0,0.982341059805,44.173613114056,2.2655,4407609596.64,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
5,000610,*ST西旅,2026-09-22,1家机构卖出，成功率25.71%,7.58,-9.9762,-31393415.95,27570174.0,58963589.95,86533763.95,164786006.0,-19.051020600621,52.512811039306,9.1928,1785122548.52,日跌幅偏离值达到7%的前5只证券,,,,
6,000668,荣丰控股,2026-09-22,1家机构卖出，成功率21.23%,17.42,-9.9742,-44432980.0,29658211.0,74091191.0,103749402.0,201315381.0,-22.071328966166,51.535755233725,7.6949,2557985723.8,日跌幅偏离值达到7%的前5只证券,,,,
7,000676,智度股份,2026-09-22,主力做T，成功率26.76%,7.45,10.0443,4459500.06999999,156584523.5,152125023.43,308709546.93,1277652015.0,0.349038706756,24.16225570857,13.7732,9379761073.4,日涨幅偏离值达到7%的前5只证券,,,,
8,000756,新华制药,2026-09-22,普通席位买入，成功率50.62%,16.14,10.0204,180295469.89,317368579.0,137073109.11,454441688.11,2083891267.0,8.651865514536,21.807360840099,19.4515,8051808783.54,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
9,000756,新华制药,2026-09-22,普通席位买入，成功率44.97%,16.14,10.0204,145688260.89,274973254.0,129284993.11,404258247.11,1563389474.0,9.318743877509,25.857807912426,19.4515,8051808783.54,日涨幅偏离值达到7%的前5只证券,,,,
10,000823,超声电子,2026-09-22,3家机构买入，成功率27.94%,25.22,0.0794,40379706.8100001,748597668.21,708217961.4,1456815629.61,5152772565.0,0.783650089357,28.272461305693,34.2263,15004189251.74,日换手率达到20%的前5只证券,,,,
11,000910,大亚圣象,2026-09-22,2家机构买入，成功率31.22%,6.89,10.0639,5632250.56,82566425.43,76934174.87,159500600.3,675186094.0,0.834177511956,23.623205767624,10.5264,3770450011.25,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
