序号,代码,名称,上榜日,解读,收盘价,涨跌幅,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜成交额,市场总成交额,净买额占总成交比,成交额占总成交比,换手率,流通市值,上榜原因,上榜后1日,上榜后2日,上榜后5日,上榜后10日
1,000007,全新好,2026-09-07,1家机构卖出，成功率31.75%,11.5,-7.4074,-37804795.0,54579343.0,92384138.0,146963481.0,243648981,-15.516089927747,60.317708039173,5.9631,3984152506.0,日跌幅偏离值达到7%的前5只证券,,,,
2,000017,深中华A,2026-09-07,1家机构卖出，成功率32.29%,8.99,-5.5672,-20311663.16,100226505.21,120538168.37,220764673.58,1875434523,-1.083037712642,11.771387956902,20.761,4347951961.59,连续三个交易日内，跌幅偏离值累计达到20%的证券,,,,
3,000428,华天酒店,2026-09-07,2家机构买入，成功率44.13%,5.16,10.0213,-2509451.79000001,126663633.27,129173085.06,255836718.33,797734579,-0.314572272039,32.070406005304,10.1447,5257658160.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
4,000560,我爱我家,2026-09-07,主力做T，成功率39.83%,3.13,-0.6349,-88782647.8,293423162.76,382205810.56,675628973.32,2487272765,-3.569477744834,27.163445152747,33.4014,7332613812.47,日换手率达到20%的前5只证券,,,,
5,000735,罗牛山,2026-09-07,1家机构买入，成功率42.96%,6.74,9.9511,140809114.37,212479656.0,71670541.63,284150197.63,817009801,17.2346909667,34.779288728508,4.4581,7757049264.58,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
6,000798,中水渔业,2026-09-07,1家机构买入，成功率34.28%,11.15,9.9606,31958356.26,115000476.0,83042119.74,198042595.74,479804227,6.660707526447,41.275708840306,6.6837,4079073763.8,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
7,000892,欢瑞世纪,2026-09-07,2家机构买入，成功率25.20%,5.86,4.8301,-41787587.46,192656673.14,234444260.6,427100933.74,1782197544,-2.34472253655,23.964848070737,44.4512,4165280991.44,日换手率达到20%的前5只证券,,,,
8,000892,欢瑞世纪,2026-09-07,2家机构买入，成功率25.20%,5.86,4.8301,-41787587.46,192656673.14,234444260.6,427100933.74,1782197544,-2.34472253655,23.964848070737,44.4512,4165280991.44,日振幅值达到15%的前5只证券,,,,
9,001299,美能能源,2026-09-07,1家机构卖出，成功率20.24%,10.85,-7.265,-30108233.93,16476964.12,46585198.05,63062162.17,309767296,-9.719629644183,20.357914790979,10.1297,3063363806.3,日跌幅偏离值达到7%的前5只证券,,,,
10,001366,播恩集团,2026-09-07,1家机构买入，成功率32.28%,15.8,10.0279,64019668.52,95301464.52,31281796.0,126583260.52,294936548,21.706251379873,42.918811309882,3.4794,2538744000.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
11,002020,京新药业,2026-09-07,4家机构卖出，成功率32.29%,11.84,-6.6246,-97912823.69,67877809.0,165790632.69,233668441.69,483650326,-20.244548266882,48.313508567758,5.6218,8571785086.4,日跌幅偏离值达到7%的前5只证券,,,,
12,002043,兔宝宝,2026-09-07,4家机构卖出，成功率39.83%,11.82,-7.1485,-50732163.0,67280697.0,118012860.0,185293557.0,270914142,-18.726288197978,68.395675335398,2.7953,9528167861.04,日跌幅偏离值达到7%的前5只证券,,,,
13,002104,恒宝股份,2026-09-07,主力做T，成功率25.89%,13.53,-3.7011,-194834180.11,268039294.62,462873474.73,730912769.35,2302222623,-8.462873145435,31.748135999009,27.7545,8221120870.38,日换手率达到20%的前5只证券,,,,
14,002281,光迅科技,2026-09-07,4家机构买入，成功率39.83%,184.47,10.0,1096944986.73,1815642350.04,718697363.31,2534339713.35,7691316761,14.262122089318,32.950661012959,5.4457,144998908351.44,日涨幅偏离值达到7%的前5只证券,,,,
15,002354,天娱数科,2026-09-07,2家机构卖出，成功率18.52%,8.43,-0.2367,-257018451.92,519768893.09,776787345.01,1296556238.1,4321883754,-5.946908027828,29.999794346621,31.4298,13715557556.97,日换手率达到20%的前5只证券,,,,
16,002436,兴森科技,2026-09-07,3家机构买入，成功率42.28%,36.75,9.997,592561076.89,906475730.46,313914653.57,1220390384.03,3954318618,14.985162657169,30.862216779265,7.2426,55783874433.0,日涨幅偏离值达到7%的前5只证券,,,,
17,002463,沪电股份,2026-09-07,4家机构买入，成功率39.83%,122.65,10.0,1742803150.26,2604020754.26,861217604.0,3465238358.26,9613926292,18.127902142439,36.043945553686,4.1657,235837765420.4,日涨幅偏离值达到7%的前5只证券,,,,
18,002484,江海股份,2026-09-07,4家机构买入，成功率39.83%,61.95,9.9964,460746873.86,981027271.88,520280398.02,1501307669.9,3662851549,12.578912022405,40.987401477133,7.3913,50828117429.25,日涨幅偏离值达到7%的前5只证券,,,,
19,002564,天沃科技,2026-09-07,1家机构买入，成功率30.56%,5.42,9.9391,51838039.0,98626135.0,46788096.0,145414231.0,260235063,19.919698138448,55.878031700901,4.0011,4655262265.34,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
20,002674,兴业科技,2026-09-07,普通席位卖出，成功率59.08%,20.93,-10.0172,-21024185.0,6678763.0,27702948.0,34381711.0,32052202,-65.593574506987,107.26785947499,0.5234,6123357236.36,日跌幅偏离值达到7%的前5只证券,,,,
21,002702,海欣食品,2026-09-07,1家机构买入，成功率45.60%,6.17,9.9822,68227660.5,84765477.5,16537817.0,101303294.5,212426770,32.11820266344,47.688572631406,2.0674,2830448937.5,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
22,002916,深南电路,2026-09-07,3家机构买入，成功率41.20%,364.98,10.0,549864052.33,971726292.79,421862240.46,1393588533.25,3314184036,16.591234715911,42.049219901861,1.39,242642153061.0,日涨幅偏离值达到7%的前5只证券,,,,
23,002980,华盛昌,2026-09-07,3家机构买入，成功率34.11%,118.1,10.0037,257799533.32,960343751.65,702544218.33,1662887969.98,4827274694,5.340477798797,34.447759354711,11.0637,11961973323.9,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
24,002988,豪美新材,2026-09-07,3家机构买入，成功率29.88%,28.77,10.0191,89675863.8,272820007.32,183144143.52,455964150.84,1012033693,8.860956351579,45.054246117871,6.2115,7186875349.92,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
25,003005,竞业达,2026-09-07,3家机构买入，成功率41.69%,19.18,3.7879,44437969.14,96913368.14,52475399.0,149388767.14,854839627,5.19839835876,17.475648346377,33.9767,2573853866.5,日换手率达到20%的前5只证券,,,,
26,003032,传智教育,2026-09-07,西藏自治区资金卖出，成功率24.17%,9.67,-0.5144,63793013.97,173349625.32,109556611.35,282906236.67,2064103304,3.090592115539,13.706011521892,22.5983,2750937149.36,连续三个交易日内，跌幅偏离值累计达到20%的证券,,,,
27,123112,万讯转债,2026-09-07,,164.419,19.9999,3415940.25,534338813.99,530922873.74,1065261687.73,1950647650,0.175118261363,54.610666756244,,,日涨幅达到15%的前5只可转债,,,,
28,300112,万讯自控,2026-09-07,3家机构买入，成功率42.81%,10.55,20.0228,55292671.87,114017937.63,58725265.76,172743203.39,388699659,14.22503740092,44.441305617405,15.7994,2612821376.7,日涨幅达到15%的前5只证券,,,,
29,300189,神农种业,2026-09-07,2家机构买入，成功率38.30%,7.72,9.5035,102764090.44,313745947.3,210981856.86,524727804.16,2648848619,3.87957581656,19.80965618028,39.123,6841853273.28,日换手率达到30%的前5只证券,,,,
30,300684,中石科技,2026-09-07,2家机构买入，成功率31.37%,104.36,17.3903,134730485.73,754635595.1,619905109.37,1374540704.47,4516204895,2.983267784842,30.435747191005,22.3835,21391626911.72,日涨幅达到15%的前5只证券,,,,
31,301516,中远通,2026-09-07,1家机构买入，成功率43.11%,19.98,20.0,112780264.34,155844592.62,43064328.28,198908920.9,539352643,20.910301600209,36.879196474059,42.2031,1402105271.22,日涨幅达到15%的前5只证券,,,,
32,301516,中远通,2026-09-07,1家机构买入，成功率43.11%,19.98,20.0,112780264.34,155844592.62,43064328.28,198908920.9,539352643,20.910301600209,36.879196474059,42.2031,1402105271.22,日换手率达到30%的前5只证券,,,,
33,301529,福赛科技,2026-09-07,3家机构买入，成功率35.14%,125.7,17.4766,63499714.43,205298025.93,141798311.5,347096337.43,761860588,8.334820757259,45.55903572085,9.7126,7990330921.8,日涨幅达到15%的前5只证券,,,,
34,301550,斯菱智驱,2026-09-07,2家机构买入，成功率48.47%,97.75,19.9975,-6042307.31999999,296744364.75,302786672.07,599531036.82,1588661869,-0.380339418847,37.738114605683,8.1237,20059875534.5,日涨幅达到15%的前5只证券,,,,
35,301591,肯特股份,2026-09-07,4家机构买入，成功率24.54%,48.93,4.9775,-14937133.28,93283380.19,108220513.47,201503893.66,707612907,-2.110918714489,28.476571253384,32.7319,2186914019.64,日换手率达到30%的前5只证券,,,,
36,600076,康欣新材,2026-09-07,普通席位卖出，成功率30.39%,2.85,-10.0946,-3651990.0,2441310.0,6093300.0,8534610.0,16829250,-21.700254022015,50.712955122777,0.4392,3831948595.95,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券,,,,
37,600103,青山纸业,2026-09-07,普通席位买入，成功率46.67%,3.91,10.1408,199388622.14,322082085.0,122693462.86,444775547.86,1875462404,10.63143797043,23.715513939996,22.2728,8650206573.77,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,,,,
38,600108,亚盛集团,2026-09-07,普通席位买入，成功率40.08%,4.8,10.0917,27393600.0,34676160.0,7282560.0,41958720.0,101633170,26.953405074347,41.284474350254,1.0875,9345192580.8,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,,,,
39,600295,鄂尔多斯,2026-09-07,1家机构卖出，成功率42.36%,13.62,-7.4099,-40775867.59,71551951.6,112327819.19,183879770.79,329924780,-12.35914064715,55.733846602853,1.2196,27957751779.48,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券,,,,
40,600354,敦煌种业,2026-09-07,普通席位买入，成功率49.37%,9.53,10.0462,132759304.64,249951145.48,117191840.84,367142986.32,1809485303,7.336854542001,20.289912590686,11.5074,5029953822.4,非S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,,,,
41,600354,敦煌种业,2026-09-07,普通席位买入，成功率50.72%,9.53,10.0462,-9955586.35000001,71882219.41,81837805.76,153720025.17,569165445,-1.749155089695,27.007968688261,11.5074,5029953822.4,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,,,,
42,600371,万向德农,2026-09-07,买一主买，成功率40.18%,15.07,10.0,-23025075.81,89528492.18,112553567.99,202082060.17,1222131039,-1.884010394568,16.535220342276,28.5697,4409150460.0,有价格涨跌幅限制的日换手率达到20%的前五只证券,,,,
43,600400,红豆股份,2026-09-07,买一主买，成功率44.56%,3.15,10.1399,65008837.6,91015671.0,26006833.4,117022504.4,190737079,34.082957514517,61.352782067088,2.7163,7217821333.8,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,,,,
44,600479,千金药业,2026-09-07,买一主买，成功率44.66%,13.86,5.3992,59148650.63,171757630.23,112608979.6,284366609.83,1494441366,3.957910425641,19.028288181766,25.8903,5800508641.62,有价格涨跌幅限制的日换手率达到20%的前五只证券,,,,
45,600540,新赛股份,2026-09-07,普通席位买入，成功率44.33%,6.72,9.9836,-125464.73999998,141737027.68,141862492.42,283599520.1,1194789393,-0.010500992119,23.736360714411,31.8388,3906853171.2,有价格涨跌幅限制的日换手率达到20%的前五只证券,,,,
46,600722,金牛化工,2026-09-07,普通席位买入，成功率41.79%,17.97,4.4767,-51890012.77,235902588.2,287792600.97,523695189.17,2517489607,-2.061180813844,20.802278099335,21.4214,12225344577.72,有价格涨跌幅限制的日价格振幅达到15%的前五只证券,,,,
47,600865,百大集团,2026-09-07,普通席位买入，成功率37.48%,12.49,10.0441,58706907.0,82648828.0,23941921.0,106590749.0,220018385,26.682727900216,48.446291886017,4.6841,4699241546.84,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,,,,
48,601086,国芳集团,2026-09-07,普通席位买入，成功率42.03%,13.92,10.0395,35441215.45,186770601.04,151329385.59,338099986.63,3071406620,1.153908284863,11.007985215256,8.8785,9270720000.0,非S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,,,,
49,601949,中国出版,2026-09-07,普通席位买入，成功率39.58%,6.41,9.9485,-16626228.32,148066554.45,164692782.77,312759337.22,1100987806,-1.510119206534,28.407157237852,6.805,12204435226.14,非S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,,,,
50,603228,景旺电子,2026-09-07,3家机构买入，成功率41.47%,105.97,9.9958,1035518719.74,2480841968.82,1445323249.08,3926165217.9,12683208820,8.164485300495,30.955614416037,5.1462,104063668474.53,非S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,,,,
