date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,4.33,4.37,4.31,4.34,17068219.0,0.8223,90.0872682
2025-06-04,4.34,4.39,4.33,4.37,21335724.0,1.0279,90.70999126000001
2025-06-05,4.37,4.41,4.32,4.33,24002312.0,1.1563,89.87969385000001
2025-06-06,4.34,4.37,4.33,4.35,15330042.000000002,0.7385,90.29484255
2025-06-09,4.35,4.37,4.32,4.36,16646907.999999998,0.802,90.50241691000001
2025-06-10,4.36,4.42,4.32,4.35,29959392.0,1.4433,90.29484255
2025-06-11,4.36,4.41,4.34,4.37,23882984.0,1.1506,90.70999126000001
2025-06-12,4.36,4.38,4.32,4.35,19547160.0,0.9417,90.29484255
2025-06-13,4.34,4.35,4.28,4.28,26840161.0,1.293,88.8418221
2025-06-16,4.3,4.45,4.29,4.41,49574545.0,2.3883,91.54028866
2025-06-17,4.4,4.5,4.37,4.45,37267911.0,1.7954,92.37058606000001
2025-06-18,4.46,4.46,4.37,4.45,29719440.000000004,1.4317,92.37058606000001
2025-06-19,4.42,4.48,4.35,4.37,26120031.0,1.2583,90.70999126000001
2025-06-20,4.38,4.39,4.28,4.3,24513200.0,1.1809,89.2569708
2025-06-23,4.27,4.36,4.23,4.34,16181520.000000002,0.7796,90.0872682
2025-06-24,4.34,4.46,4.34,4.45,30189869.0,1.4544,92.37058606000001
2025-06-25,4.45,4.6,4.44,4.57,43672948.0,2.104,94.86147826999999
2025-06-26,4.56,4.63,4.53,4.55,28698498.0,1.3826,94.44632957
2025-06-27,4.55,4.61,4.5,4.52,20778360.0,1.001,93.82360652
2025-06-30,4.54,4.58,4.5,4.54,22075844.0,1.0635,94.23875522
2025-07-01,4.55,4.58,4.48,4.55,24356088.0,1.1734,94.44632957
2025-07-02,4.54,4.61,4.51,4.59,28233478.000000004,1.3602,95.27662697
2025-07-03,4.59,4.64,4.57,4.58,18855775.0,0.9084,95.06905262
2025-07-04,4.58,4.6,4.54,4.57,20160764.0,0.9713,94.86147826999999
2025-07-07,4.58,4.73,4.57,4.7,40931072.0,1.9719,97.55994483
2025-07-08,4.68,4.81,4.67,4.79,47345374.0,2.2809,99.42811399
2025-07-09,4.82,4.89,4.79,4.86,49784533.0,2.3984,100.88113444
2025-07-10,4.83,4.98,4.83,4.97,75445768.0,3.6346,103.16445230000001
2025-07-11,5.0,5.03,4.95,4.97,62351638.0,3.0038,103.16445230000001
2025-07-14,4.93,4.97,4.77,4.84,64248807.99999999,3.0952,100.46598574
2025-07-15,4.9,4.91,4.76,4.85,70001346.0,3.3724,100.67356009
2025-07-16,4.83,4.9,4.79,4.81,52377381.0,2.5233,99.84326269
2025-07-17,4.8,4.82,4.72,4.76,38319776.0,1.8461,98.80539093
2025-07-18,4.8,4.81,4.67,4.71,59056268.99999999,2.8451,97.76751918000001
2025-07-21,4.71,4.79,4.69,4.76,51833521.0,2.4971,98.80539093
2025-07-22,4.77,4.83,4.68,4.83,54561248.0,2.6285,100.25841139
2025-07-23,4.82,4.95,4.81,4.86,56579785.0,2.7258,100.88113444
2025-07-24,4.85,4.98,4.82,4.93,54572917.00000001,2.6291,102.3341549
2025-07-25,4.94,5.01,4.91,4.98,52169739.0,2.5133,103.37202665000001
2025-07-28,5.0,5.01,4.89,4.98,30153159.999999996,1.4526,103.37202665000001
2025-07-29,4.98,5.02,4.92,4.97,31861336.0,1.5349,103.16445230000001
2025-07-30,4.97,5.01,4.88,4.92,38269853.0,1.8437,102.12658053999999
2025-07-31,4.89,4.9,4.59,4.63,82045634.0,3.9526,96.10692437
2025-08-01,4.64,4.67,4.62,4.63,24345534.0,1.1729,96.10692437
2025-08-04,4.62,4.63,4.56,4.62,28071770.0,1.3524,95.89935002
2025-08-05,4.62,4.69,4.61,4.63,36726127.0,1.7693,96.10692437
2025-08-06,4.63,4.66,4.59,4.64,25756137.0,1.2408,96.31449872
2025-08-07,4.64,4.69,4.61,4.68,29523465.999999996,1.4223,97.14479613
2025-08-08,4.66,4.71,4.65,4.7,24253156.0,1.1684,97.55994483
2025-08-11,4.85,4.93,4.77,4.81,79955242.0,3.8519,99.84326269
2025-08-12,4.79,4.85,4.77,4.8,42510071.0,2.0479,99.63568834
2025-08-13,4.8,4.83,4.74,4.78,38135383.0,1.8372,99.22053963
2025-08-14,4.8,4.86,4.73,4.74,38820035.0,1.8702,98.39024223
2025-08-15,4.76,4.97,4.75,4.91,69110829.0,3.3294,101.91900618999999
2025-08-18,4.94,5.0,4.86,4.9,50984390.0,2.4562,101.71143184
2025-08-19,4.92,5.0,4.89,4.99,50820484.0,2.4483,103.579601
2025-08-20,4.97,4.98,4.88,4.96,46314966.0,2.2312,102.95687794999999
2025-08-21,4.96,4.98,4.93,4.94,36773645.0,1.7716,102.54172925
2025-08-22,4.91,4.94,4.86,4.93,30069542.0,1.4486,102.3341549
2025-08-25,4.93,5.22,4.93,5.12,74623394.0,3.595,106.27806756
2025-08-26,5.1,5.12,5.02,5.1,41552500.0,2.0018,105.86291886
2025-08-27,5.09,5.1,4.92,4.92,42050828.0,2.0258,102.12658053999999
2025-08-28,4.93,4.99,4.85,4.95,39956819.0,1.9249,102.74930359999999
2025-08-29,5.02,5.11,4.97,5.0,54049423.0,2.6039,103.78717535
2025-09-01,5.06,5.08,4.92,5.02,68966682.0,3.3225,104.20232405
2025-09-02,5.03,5.21,4.99,5.15,91359487.0,4.4013,106.90079061
2025-09-03,5.15,5.16,4.89,4.92,66982326.0,3.2269,102.12658053999999
2025-09-04,4.94,4.98,4.88,4.93,38198862.0,1.8402,102.3341549
2025-09-05,4.95,4.95,4.89,4.94,35691054.0,1.7194,102.54172925
2025-09-08,4.96,5.05,4.95,4.99,42131916.0,2.0297,103.579601
2025-09-09,5.01,5.25,4.98,5.18,76259797.0,3.6739,107.52351366
2025-09-10,5.15,5.2,5.06,5.16,45050241.0,2.1703,107.10836495999999
2025-09-11,5.13,5.2,5.07,5.19,52842147.0,2.5457,107.73108801
2025-09-12,5.17,5.4,5.17,5.35,66204822.0,3.1895,111.05227762
2025-09-15,5.3,5.39,5.16,5.3,74546280.0,3.5913,110.01440586999999
2025-09-16,5.25,5.41,5.24,5.31,53595207.99999999,2.582,110.22198022
2025-09-17,5.3,5.41,5.2,5.39,51120973.0,2.4628,111.88257503
2025-09-18,5.37,5.42,5.1,5.14,68496052.0,3.2998,106.69321625999999
2025-09-19,5.16,5.22,5.05,5.17,49800323.0,2.3992,107.31593931
2025-09-22,5.16,5.16,5.01,5.12,29589419.0,1.4255,106.27806756
2025-09-23,5.09,5.09,4.8,4.89,60554699.0,2.9173,101.50385749
2025-09-24,4.86,5.04,4.83,4.97,40107911.0,1.9322,103.16445230000001
2025-09-25,4.96,4.97,4.88,4.9,29445213.0,1.4185,101.71143184
2025-09-26,4.88,5.14,4.86,5.0,44591944.0,2.1482,103.78717535
2025-09-29,5.02,5.1,4.94,5.06,40135466.0,1.9335,105.03262145
2025-09-30,5.05,5.34,5.02,5.3,68527815.0,3.3014,110.01440586999999
2025-10-09,5.26,5.46,5.19,5.39,68424379.0,3.2964,111.88257503
2025-10-10,5.37,5.66,5.34,5.51,62025187.0,2.9881,114.37346724000001
2025-10-13,5.37,5.53,5.34,5.51,51615579.0,2.4866,114.37346724000001
2025-10-14,5.51,5.63,5.4,5.44,48834636.0,2.3526,112.92044677999999
2025-10-15,5.45,5.49,5.38,5.44,33867967.0,1.6316,112.92044677999999
2025-10-16,5.44,5.44,5.33,5.38,30690196.999999996,1.4785,111.67500068000001
2025-10-17,5.36,5.4,5.24,5.26,36114992.0,1.7399,109.18410847
2025-10-20,5.27,5.36,5.25,5.29,27668759.000000004,1.333,109.80683152
2025-10-21,5.28,5.45,5.25,5.39,35496075.0,1.71,111.88257503
2025-10-22,5.39,5.56,5.35,5.52,43101834.0,2.0765,114.58104158999998
2025-10-23,5.48,5.54,5.36,5.45,35074031.0,1.6897,113.12802113000001
2025-10-24,5.44,5.47,5.32,5.34,34046482.0,1.6402,110.84470327000001
2025-10-27,5.36,5.47,5.34,5.37,32920286.0,1.586,111.46742633
2025-10-28,5.37,5.42,5.31,5.37,28102199.0,1.3538,111.46742633
2025-10-29,5.35,5.36,5.29,5.33,32856990.000000004,1.5829,110.63712892
2025-10-30,5.33,5.36,5.24,5.24,28149759.000000004,1.3561,108.76895977000001
2025-10-31,5.03,5.08,4.94,4.96,83008584.0,3.999,102.95687794999999
2025-11-03,4.96,4.98,4.88,4.91,48900107.0,2.3558,101.91900618999999
2025-11-04,4.91,4.93,4.88,4.9,33205309.000000004,1.5997,101.71143184
2025-11-05,4.88,4.93,4.83,4.92,28904184.999999996,1.3925,102.12658053999999
2025-11-06,4.91,4.93,4.87,4.89,30385726.0,1.4638,101.50385749
2025-11-07,4.88,4.89,4.84,4.85,32770532.0,1.5787,100.67356009
2025-11-10,4.86,4.94,4.84,4.94,37293359.0,1.7966,102.54172925
2025-11-11,4.93,4.98,4.92,4.95,28946432.0,1.3945,102.74930359999999
2025-11-12,4.94,5.06,4.92,5.02,37197486.0,1.792,104.20232405
2025-11-13,5.02,5.03,4.95,5.01,22904112.0,1.1034,103.9947497
2025-11-14,4.99,5.07,4.98,5.0,25642510.0,1.2353,103.78717535
2025-11-17,5.0,5.06,4.97,5.03,21126512.0,1.0178,104.4098984
2025-11-18,5.03,5.04,4.83,4.88,37357273.0,1.7997,101.29628314
2025-11-19,4.86,4.89,4.75,4.78,25204897.0,1.2143,99.22053963
2025-11-20,4.78,5.05,4.75,4.94,53938419.99999999,2.5985,102.54172925
2025-11-21,4.89,4.95,4.8,4.8,34376585.0,1.6561,99.63568834
2025-11-24,4.8,4.9,4.73,4.76,31302888.0,1.508,98.80539093
2025-11-25,4.77,4.82,4.74,4.78,25289144.0,1.2183,99.22053963
2025-11-26,4.78,4.82,4.71,4.73,28026628.000000004,1.3502,98.18266788
2025-11-27,4.68,4.73,4.58,4.7,30281020.0,1.4588,97.55994483
2025-11-28,4.68,4.72,4.62,4.71,22124274.0,1.0658,97.76751918000001
2025-12-01,4.72,4.75,4.67,4.69,21906781.0,1.0554,97.35237047999999
2025-12-02,4.68,4.79,4.63,4.77,37330312.0,1.7984,99.01296528
2025-12-03,4.76,4.84,4.74,4.75,26419921.999999996,1.2728,98.59781658
2025-12-04,4.75,4.83,4.71,4.78,24073496.0,1.1598,99.22053963
2025-12-05,4.77,4.8,4.68,4.8,30068843.0,1.4486,99.63568834
2025-12-08,4.79,4.88,4.78,4.83,30162949.0,1.4531,100.25841139
2025-12-09,4.82,4.83,4.63,4.64,40128383.0,1.9332,96.31449872
2025-12-10,4.62,4.82,4.59,4.74,46601561.0,2.2451,98.39024223
2025-12-11,4.72,4.73,4.59,4.61,31182792.0,1.5022,95.69177567
2025-12-12,4.63,4.69,4.6,4.61,25431912.0,1.2252,95.69177567
2025-12-15,4.59,4.61,4.51,4.52,28386365.000000004,1.3675,93.82360652
2025-12-16,4.53,4.57,4.46,4.48,28844371.000000004,1.3896,92.99330911
2025-12-17,4.44,4.5,4.42,4.48,23909611.0,1.1519,92.99330911
2025-12-18,4.47,4.51,4.45,4.48,19030353.0,0.9168,92.99330911
2025-12-19,4.49,4.57,4.46,4.53,33974003.0,1.6367,94.03118087
2025-12-22,4.52,4.53,4.48,4.5,29855992.0,1.4383,93.40845782
2025-12-23,4.5,4.51,4.42,4.44,34391596.0,1.6568,92.16301171
2025-12-24,4.43,4.46,4.42,4.45,19004548.0,0.9156,92.37058606000001
2025-12-25,4.6,4.7,4.49,4.51,83058821.0,4.0014,93.61603217
2025-12-26,4.48,4.54,4.45,4.48,51161296.0,2.4647,92.99330911
2025-12-29,4.51,4.76,4.5,4.64,99630529.0,4.7998,96.31449872
2025-12-30,4.6,4.64,4.54,4.61,53268279.0,2.5662,95.69177567
2025-12-31,4.63,5.07,4.57,5.07,138132972.0,6.6546,105.24019580000001
2026-01-05,5.36,5.58,5.21,5.58,154072012.0,7.4225,115.82648769000001
2026-01-06,5.85,6.14,5.71,6.14,126784848.0,6.1079,127.45065133
2026-01-07,6.75,6.75,6.48,6.75,239203689.0,11.5238,140.11268672
2026-01-08,7.01,7.43,6.38,6.75,512677303.0,24.6985,140.11268672
2026-01-09,7.13,7.3,6.45,6.82,428010730.0,20.6196,141.56570718
2026-01-12,6.86,7.5,6.8,7.15,437664944.00000006,21.0847,148.41566075
2026-01-13,6.95,6.95,6.44,6.44,187481808.0,9.032,133.67788185
2026-01-14,6.16,6.74,5.8,6.42,403390941.0,19.4336,133.26273315
2026-01-15,6.5,6.8,6.1,6.24,277116025.0,13.3502,129.52639484000002
2026-01-16,6.25,6.86,6.25,6.86,302552696.0,14.5756,142.39600458
2026-01-19,6.5,7.2,6.17,6.47,368226201.0,17.7395,134.30060490000002
2026-01-20,6.58,6.85,6.32,6.62,308387768.0,14.8567,137.41422016
2026-01-21,6.4,6.55,6.03,6.09,260640494.0,12.5565,126.41277957999999
2026-01-22,6.05,6.57,6.02,6.32,229998894.0,11.0803,131.18698964
2026-01-23,6.43,6.58,6.35,6.45,200554579.0,9.6618,133.8854562
2026-01-26,6.5,6.57,6.08,6.09,188712428.0,9.0913,126.41277957999999
2026-01-27,6.0,6.08,5.71,5.85,156347515.0,7.5321,121.43099516000001
2026-01-28,5.86,5.89,5.68,5.72,104907660.00000001,5.054,118.73252860000001
2026-01-29,5.7,5.97,5.66,5.8,115492172.0,5.5639,120.39312341
2026-01-30,5.75,5.83,5.56,5.62,99916407.0,4.8135,116.65678509
2026-02-02,5.55,5.65,5.44,5.45,70619098.0,3.4021,113.12802113000001
2026-02-03,6.0,6.0,5.93,6.0,54774005.00000001,2.6388,124.54461042
2026-02-04,6.18,6.25,5.77,6.02,284241170.0,13.6935,124.95975911999999
2026-02-05,5.94,6.1,5.89,5.94,157742153.0,7.5993,123.29916432
2026-02-06,5.85,5.87,5.75,5.76,100845284.0,4.8583,119.562826
2026-02-09,5.8,5.9,5.77,5.84,83722895.0,4.0334,121.22342081
2026-02-10,5.8,5.82,5.66,5.71,65424356.99999999,3.1519,118.52495425
2026-02-11,5.67,5.79,5.65,5.69,51308324.0,2.4718,118.10980555
2026-02-12,5.69,5.73,5.61,5.62,52468252.0,2.5277,116.65678509
2026-02-13,5.64,5.65,5.54,5.55,53366969.99999999,2.571,115.20376464
2026-02-24,5.57,5.62,5.53,5.56,46100928.0,2.2209,115.41133899
2026-02-25,5.56,5.73,5.56,5.68,70712448.0,3.4066,117.90223119999999
2026-02-26,5.66,5.68,5.52,5.54,71957804.0,3.4666,114.99619029000002
2026-02-27,5.55,5.58,5.5,5.57,47622387.0,2.2942,115.61891333999999
2026-03-02,5.5,5.55,5.4,5.44,58536338.0,2.82,112.92044677999999
2026-03-03,5.43,5.49,5.26,5.28,65724956.99999999,3.1663,109.59925717
2026-03-04,5.24,5.31,5.19,5.23,42388371.0,2.0421,108.56138542
2026-03-05,5.3,5.32,5.24,5.27,33846799.0,1.6306,109.39168282000001
2026-03-06,5.27,5.38,5.25,5.37,35048297.0,1.6885,111.46742633
2026-03-09,5.34,5.35,5.25,5.34,41742404.0,2.011,110.84470327000001
2026-03-10,5.36,5.42,5.35,5.38,35275171.0,1.6994,111.67500068000001
2026-03-11,5.37,5.41,5.35,5.39,36112533.0,1.7397,111.88257503
2026-03-12,5.37,5.45,5.36,5.43,47182271.0,2.273,112.71287242999999
2026-03-13,5.43,5.5,5.39,5.41,52818648.0,2.5446,112.29772372999999
2026-03-16,5.41,5.5,5.39,5.41,45489172.0,2.1915,112.29772372999999
2026-03-17,5.43,5.61,5.38,5.4,74554192.0,3.5917,112.09014938
2026-03-18,5.39,5.44,5.27,5.31,49207931.0,2.3706,110.22198022
2026-03-19,5.27,5.3,5.14,5.16,47512393.0,2.2889,107.10836495999999
2026-03-20,5.19,5.23,5.09,5.09,36806813.0,1.7732,105.65534450999999
2026-03-23,5.05,5.05,4.77,4.81,49035118.0,2.3623,99.84326269
2026-03-24,4.89,4.96,4.81,4.94,43289954.0,2.0855,102.54172925
2026-03-25,4.93,5.04,4.92,5.04,32784709.000000004,1.5794,104.61747275
2026-03-26,5.02,5.11,5.01,5.05,30117794.0,1.4509,104.8250471
2026-03-27,4.97,5.1,4.97,5.08,22179361.0,1.0685,105.44777016
2026-03-30,5.02,5.15,5.0,5.12,29598900.0,1.4259,106.27806756
2026-03-31,5.14,5.25,5.09,5.1,30087200.0,1.4495,105.86291886
2026-04-01,5.16,5.19,5.05,5.09,23951969.0,1.1539,105.65534450999999
2026-04-02,5.07,5.08,4.93,4.97,27725334.999999996,1.3357,103.16445230000001
2026-04-03,4.96,4.99,4.86,4.87,22716250.0,1.0944,101.08870879
