date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-16,3.29,3.47,3.25,3.47,45783326.0,,
2025-06-17,3.54,3.61,3.3,3.3,84630587.0,,
2025-06-18,3.35,3.39,3.14,3.16,79515096.0,,
2025-06-19,3.16,3.28,3.13,3.24,51970291.0,,
2025-06-20,3.2,3.24,3.08,3.08,35434900.0,,
2025-06-23,3.02,3.11,2.93,3.09,40897051.0,,
2025-06-24,3.09,3.24,3.08,3.24,22103300.0,,
2025-06-25,3.31,3.4,3.31,3.4,53182842.0,,
2025-06-26,3.35,3.49,3.35,3.41,37087900.0,,
2025-06-27,3.41,3.53,3.35,3.37,37723100.0,,
2025-06-30,3.4,3.43,3.21,3.32,36633900.0,,
2025-07-01,3.32,3.39,3.26,3.35,27087620.0,,
2025-07-02,3.32,3.4,3.29,3.32,24494382.0,,
2025-07-03,3.3,3.32,3.23,3.25,25653902.0,,
2025-07-04,3.26,3.33,3.23,3.24,22472600.0,,
2025-07-07,3.22,3.24,3.15,3.18,23493600.0,,
2025-07-08,3.21,3.34,3.2,3.34,29126801.0,,
2025-07-09,3.36,3.47,3.32,3.37,29287601.0,,
2025-07-10,3.37,3.46,3.31,3.37,23879900.0,,
2025-07-11,3.34,3.37,3.27,3.3,19260600.0,,
2025-07-14,3.21,3.22,3.14,3.14,37517207.0,,
2025-07-15,3.16,3.2,3.13,3.17,14841402.0,,
2025-07-16,3.15,3.24,3.15,3.21,12048830.0,,
2025-07-17,3.2,3.24,3.18,3.23,10500502.0,,
2025-07-18,3.21,3.22,3.15,3.16,14344617.0,,
2025-07-21,3.16,3.21,3.15,3.19,9107560.0,,
2025-07-22,3.18,3.2,3.13,3.15,17215702.0,,
2025-07-23,3.11,3.14,3.05,3.1,16308637.0,,
2025-07-24,3.1,3.14,3.09,3.12,9618900.0,,
2025-07-25,3.12,3.17,3.1,3.14,9818056.0,,
2025-07-28,3.13,3.21,3.1,3.19,12900502.0,,
2025-07-29,3.17,3.19,3.13,3.15,9559281.0,,
2025-07-30,3.13,3.14,3.06,3.07,13812200.0,,
2025-07-31,3.07,3.09,2.97,2.99,19093410.0,,
2025-08-01,3.01,3.06,3.0,3.04,9451485.0,,
2025-08-04,3.04,3.13,3.01,3.12,12407920.0,,
2025-08-05,3.13,3.18,3.12,3.17,13550560.0,,
