date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,3.99,4.16,3.94,4.05,58896401.0,3.5863,66.51124921
2025-06-04,4.11,4.25,4.09,4.18,85570563.0,5.2106,68.6461782
2025-06-05,4.16,4.22,4.12,4.17,55890500.0,3.4033,68.48195289
2025-06-06,4.15,4.32,4.13,4.15,83527901.0,5.0862,68.15350228
2025-06-09,4.13,4.17,4.08,4.14,48468582.0,2.9513,67.98927696999999
2025-06-10,4.13,4.18,4.01,4.05,45501100.0,2.7707,66.51124921
2025-06-11,4.06,4.14,4.05,4.07,32439300.0,1.9753,66.83969983
2025-06-12,4.07,4.14,4.06,4.11,31134501.0,1.8958,67.49660105
2025-06-13,4.08,4.12,4.01,4.02,36443459.0,2.2191,66.01857328999999
2025-06-16,4.01,4.01,3.95,3.98,22065471.0,1.3436,65.36167207
2025-06-17,4.0,4.0,3.92,3.98,22580661.0,1.375,65.36167207
2025-06-18,3.95,3.98,3.92,3.94,19994907.0,1.2175,64.70477084
2025-06-19,3.92,3.93,3.77,3.79,36054100.0,2.1954,62.241391240000006
2025-06-20,3.79,3.86,3.77,3.79,25086341.0,1.5276,62.241391240000006
2025-06-23,3.75,3.91,3.7,3.89,28563040.999999996,1.7393,63.88364431
2025-06-24,4.18,4.28,4.15,4.28,70326455.0,4.2823,70.28843127
2025-06-25,4.4,4.6,4.21,4.34,227968791.0,13.8815,71.27378311
2025-06-26,4.2,4.39,4.17,4.23,126851064.99999999,7.7242,69.46730473
2025-06-27,4.23,4.53,4.23,4.44,153531730.0,9.3488,72.91603617
2025-06-30,4.44,4.52,4.39,4.44,104347623.0,6.3539,72.91603617
2025-07-01,4.47,4.6,4.42,4.55,103725650.0,6.3161,74.72251455
2025-07-02,4.54,4.61,4.45,4.51,74237811.0,4.5205,74.06561332
2025-07-03,4.5,4.67,4.49,4.59,81906432.0,4.9874,75.37941578
2025-07-04,4.62,4.78,4.53,4.53,86846208.0,5.2882,74.39406394
2025-07-07,4.51,4.63,4.47,4.63,61435479.0,3.7409,76.03631700000001
2025-07-08,4.62,4.68,4.58,4.67,50880802.0,3.0982,76.69321823
2025-07-09,4.63,4.69,4.51,4.53,67333800.0,4.1001,74.39406394
2025-07-10,4.52,4.55,4.44,4.55,55267307.99999999,3.3653,74.72251455
2025-07-11,4.52,4.54,4.43,4.45,43424279.0,2.6442,73.08026148
2025-07-14,4.46,4.51,4.44,4.47,26177699.0,1.594,73.40871209
2025-07-15,4.45,4.47,4.36,4.45,33300500.0,2.0277,73.08026148
2025-07-16,4.43,4.64,4.43,4.57,57716330.00000001,3.5145,75.05096516
2025-07-17,4.55,4.85,4.55,4.79,92173174.0,5.6126,78.66392191
2025-07-18,4.75,4.82,4.69,4.76,48449100.0,2.9502,78.17124599
2025-07-21,4.76,4.95,4.69,4.8,77187788.0,4.7001,78.82814721999999
2025-07-22,4.81,4.87,4.68,4.78,76703568.0,4.6706,78.49969660000001
2025-07-23,4.75,4.9,4.45,4.47,137724162.0,8.3863,73.40871209
2025-07-24,4.47,4.92,4.47,4.92,112349123.0,6.8412,80.79885089999999
2025-07-25,4.91,4.91,4.56,4.6,147205868.0,8.9637,75.54364108
2025-07-28,4.62,4.65,4.5,4.51,68269241.0,4.157,74.06561332
2025-07-29,4.5,4.56,4.45,4.5,50388149.0,3.0682,73.90138802
2025-07-30,4.5,4.58,4.47,4.54,59021122.0,3.5939,74.55828924000001
