序号,营业部名称,上榜后1天-买入次数,上榜后1天-平均涨幅,上榜后1天-上涨概率,上榜后2天-买入次数,上榜后2天-平均涨幅,上榜后2天-上涨概率,上榜后3天-买入次数,上榜后3天-平均涨幅,上榜后3天-上涨概率,上榜后5天-买入次数,上榜后5天-平均涨幅,上榜后5天-上涨概率,上榜后10天-买入次数,上榜后10天-平均涨幅,上榜后10天-上涨概率
1,国泰海通,1207,0.13173682831,47.473073736537,1183,0.094416368538,45.477599323753,1163,0.070507533138,44.711951848667,1095,0.219178038603,45.205479452055,934,1.38927823727,46.359743040685
2,深股通专用,1206,0.404223598947,48.839137645108,1184,0.377254991951,47.212837837838,1164,0.181544006649,44.759450171821,1107,0.476003919991,48.419150858175,991,-0.06650238004,42.684157416751
3,沪股通专用,1020,0.455812401461,49.019607843137,997,0.74067961317,47.141424272819,979,0.591530193238,46.169560776302,924,0.74041110434,45.995670995671,820,1.868217794793,46.585365853659
4,高盛(中国)证券上海浦东新区世纪大道证券营业部,914,0.098806255438,47.045951859956,895,0.233721079397,46.59217877095,879,0.321995810011,46.41638225256,830,0.68787620306,46.746987951807,716,2.029203121229,46.508379888268
5,中信证券上海分公司,741,-0.137698228623,44.804318488529,728,-0.36034782136,43.269230769231,720,-0.540648206167,41.944444444444,674,-0.024609171513,43.323442136499,554,1.305505809729,43.682310469314
6,东方财富证券拉萨金融城南环路证券营业部,550,-1.818788962945,34.727272727273,536,-3.133867210877,30.597014925373,525,-4.402604279333,30.857142857143,507,-5.71016497075,31.360946745562,465,-7.273078854172,29.462365591398
7,瑞银证券上海花园石桥路证券营业部,510,-0.203971596529,42.549019607843,501,-0.01774944982,45.309381237525,488,0.139791822889,45.286885245902,459,0.298169420719,45.969498910675,402,1.885617426368,45.273631840796
8,东方财富证券拉萨东环路第二证券营业部,492,-2.389227170955,33.130081300813,481,-3.730436437734,30.977130977131,469,-4.672459144136,28.784648187633,445,-5.754145203213,33.033707865169,389,-8.740366028483,28.27763496144
9,开源证券西安太华路证券营业部,476,1.230223463782,55.252100840336,470,1.474609645745,53.191489361702,465,1.40188165714,51.182795698925,441,0.542440949932,49.886621315193,392,1.354981046888,44.642857142857
10,摩根大通证券(中国)上海银城中路证券营业部,462,-0.065063174957,45.670995670996,458,0.266907898952,46.069868995633,456,0.395251750461,47.80701754386,445,0.132553746494,44.044943820225,398,1.923328934372,45.979899497487
11,东方财富证券拉萨团结路第一证券营业部,407,-2.04979513801,38.083538083538,398,-3.312632045754,30.904522613065,392,-4.299327841403,31.122448979592,383,-5.208489113473,33.420365535248,353,-7.38273947966,29.745042492918
12,中国国际金融上海分公司,355,0.310515498085,48.169014084507,349,-0.324692609857,45.272206303725,345,0.056974141768,45.507246376812,326,-0.598083861196,45.398773006135,288,1.701164417813,45.833333333333
13,国信证券浙江互联网分公司,321,-2.367882206231,34.267912772586,314,-3.729187515223,28.662420382166,309,-4.761656706117,31.715210355987,303,-5.545057682871,32.013201320132,289,-6.530113143702,32.179930795848
14,华泰证券营业总部(非营业场所),287,0.773993910627,50.174216027875,284,0.491152013556,46.12676056338,278,0.074071706079,43.884892086331,256,-0.451132335234,42.1875,209,0.832839485502,44.976076555024
15,国金证券深圳分公司,277,-0.394611908773,42.599277978339,275,-1.153953336364,41.454545454546,272,-1.440863303897,38.602941176471,260,-2.181307517769,38.076923076923,242,-2.169489068058,36.776859504132
16,东方财富证券山南香曲东路证券营业部,277,-1.751499039531,35.740072202166,269,-3.239057870558,30.855018587361,262,-4.133123068664,32.06106870229,257,-5.021417163113,33.852140077821,233,-4.502475860987,34.763948497854
17,东方财富证券拉萨团结路第二证券营业部,220,-1.709002169091,41.818181818182,214,-3.205771603879,30.841121495327,211,-4.205596969147,27.962085308057,202,-5.127536487277,31.683168316832,180,-4.337831352611,37.777777777778
18,中信建投证券上海营口路证券营业部,215,0.760259052791,56.744186046512,209,-0.301572768278,41.148325358852,208,-0.868968196683,37.980769230769,188,-0.467710872287,44.148936170213,143,-1.601656483217,44.755244755245
19,国泰海通证券武汉紫阳东路证券营业部,176,1.510456800909,56.818181818182,175,2.011690807314,59.428571428571,174,2.509704398851,55.747126436782,170,2.458386287647,55.882352941177,167,5.039088580299,52.095808383234
20,中信证券深圳深南中路中信大厦证券营业部,175,-0.113505340971,51.428571428571,170,0.054675351412,51.764705882353,163,-0.256831289632,47.852760736196,150,1.681544504133,47.333333333333,117,1.857215264786,43.589743589744
21,国信证券深圳互联网分公司,173,-0.972597476532,40.462427745665,167,-1.381639666647,37.125748502994,163,-1.625167786626,34.969325153374,155,-3.243990669484,29.677419354839,125,-3.64488359792,32.8
22,东方财富证券拉萨东环路第一证券营业部,157,-3.023137654968,33.75796178344,154,-5.100738338377,30.519480519481,151,-5.754189512517,31.12582781457,147,-7.086729942789,33.333333333333,127,-9.516883356535,33.858267716535
23,东方财富证券昌都两江大道证券营业部,129,-1.495786092248,39.53488372093,126,-2.989037814048,32.539682539683,125,-4.38044764088,30.4,119,-6.108032165714,28.571428571429,105,-4.896186724857,33.333333333333
24,华鑫证券绍兴胜利东路证券营业部,125,0.34355620568,52.0,123,0.287839238374,44.715447154472,123,-0.47221015065,46.341463414634,115,-0.571572703478,39.130434782609,97,-3.121468726186,34.020618556701
25,国信证券深圳红岭中路证券营业部,125,0.30252244344,43.2,124,1.596002897742,40.322580645161,122,3.826158257541,47.540983606557,117,3.86591599735,43.589743589744,109,4.362241280917,44.036697247706
