序号,营业部名称,上榜后1天-买入次数,上榜后1天-平均涨幅,上榜后1天-上涨概率,上榜后2天-买入次数,上榜后2天-平均涨幅,上榜后2天-上涨概率,上榜后3天-买入次数,上榜后3天-平均涨幅,上榜后3天-上涨概率,上榜后5天-买入次数,上榜后5天-平均涨幅,上榜后5天-上涨概率,上榜后10天-买入次数,上榜后10天-平均涨幅,上榜后10天-上涨概率
57,中信证券北京天通苑证券营业部,12,-1.531959364167,41.666666666667,11,-1.054374559091,45.454545454546,9,0.692483912222,44.444444444444,6,2.603136366667,66.666666666667,2,-17.26346233,0.0
58,国金证券深圳湾一号证券营业部,12,0.550934115833,50.0,12,-1.486261933333,33.333333333333,11,-3.823157084545,18.181818181818,9,-11.021397532222,22.222222222222,7,-19.75720044,0.0
59,开源证券西安高新成章路证券营业部,12,1.06570935,41.666666666667,12,0.112347546667,50.0,12,-1.812977468333,58.333333333333,11,-1.996038942727,45.454545454546,8,5.06850523625,37.5
60,东亚前海证券上海分公司,12,0.426571604167,41.666666666667,12,-1.265078495833,41.666666666667,12,-5.048697113333,16.666666666667,12,-2.9281639625,33.333333333333,9,1.558916111111,55.555555555556
61,开源证券西安西大街证券营业部,11,-3.571977105455,27.272727272727,11,-3.637316882727,36.363636363636,11,-2.067653402727,36.363636363636,11,-3.649625362727,27.272727272727,7,-5.906193944286,42.857142857143
62,东吴证券上海西藏南路证券营业部,11,-0.352103750909,27.272727272727,11,-1.736389519091,18.181818181818,10,-2.355102082,30.0,9,-1.032753174444,33.333333333333,4,-11.5834756475,25.0
63,国泰海通证券上海静安区新闸路证券营业部,11,-3.246530754545,27.272727272727,11,-2.091525301818,36.363636363636,10,-8.854941202,30.0,5,-11.12965044,40.0,2,-14.67622626,0.0
64,东莞证券四川分公司,11,-0.360536463636,63.636363636364,10,-4.659087132,40.0,10,-3.422566315,50.0,8,3.364764265,50.0,4,0.97610906,50.0
65,东亚前海证券浙江分公司,10,5.874751455,80.0,10,9.427893112,70.0,9,9.888169196667,44.444444444444,9,8.998287978889,44.444444444444,7,11.771943002857,42.857142857143
66,国信证券深圳泰然九路证券营业部,10,-0.573180699,50.0,10,-3.42140601,40.0,10,-4.363182542,30.0,7,-3.401123627143,42.857142857143,3,-6.69279802,33.333333333333
67,华泰证券北京东三环北路证券营业部,10,0.508984729,50.0,10,-0.778421278,40.0,9,-5.94779624,22.222222222222,8,-9.00466108125,25.0,3,-4.20785954,33.333333333333
68,华泰证券上海普陀区江宁路证券营业部,10,1.851539422,40.0,10,-0.468867913,40.0,9,0.687812972222,44.444444444444,8,1.4131030225,50.0,3,7.93088406,66.666666666667
69,兴业证券湖北分公司,10,0.405398232,30.0,9,-1.816046997778,33.333333333333,9,0.011874323333,33.333333333333,7,0.340664171429,28.571428571429,2,-4.631578945,0.0
70,华源证券江苏分公司,10,3.988758899,90.0,10,2.847737677,50.0,10,-2.580697584,20.0,8,2.13677574,50.0,2,39.54626386,50.0
71,国泰海通证券三亚迎宾路证券营业部,10,1.42372572,60.0,10,2.18718933,60.0,9,2.628046811111,66.666666666667,8,10.71241998875,100.0,6,-4.026583231667,50.0
72,东亚前海证券苏州分公司,9,2.09939348,55.555555555556,9,1.287397206667,55.555555555556,9,0.533785556667,33.333333333333,9,1.931153388889,44.444444444444,7,5.685527481429,42.857142857143
73,中国银河证券北京学院南路证券营业部,9,0.221533207778,44.444444444444,9,-2.824017801111,33.333333333333,9,-0.971337447778,44.444444444444,9,2.463411025556,44.444444444444,8,-1.11719278,50.0
74,中国银河证券宜昌新世纪证券营业部,9,-3.309715882222,33.333333333333,9,-4.192130893333,22.222222222222,8,-4.5039596875,37.5,7,-1.889369962857,42.857142857143,5,-0.752844366,40.0
75,东方财富证券上海东方路证券营业部,9,4.408185136667,66.666666666667,9,3.440124847778,33.333333333333,8,4.43355164125,37.5,7,9.001256974286,57.142857142857,5,-4.930136426,40.0
76,东吴证券苏州西北街证券营业部,9,-5.257205857778,22.222222222222,9,-5.975960011111,22.222222222222,9,-7.592147892222,33.333333333333,9,-11.669600293333,11.111111111111,7,-10.586306481429,28.571428571429
77,中信建投证券杭州庆春路证券营业部,9,1.143298992222,44.444444444444,9,1.714020046667,66.666666666667,9,-1.913374222222,66.666666666667,9,-3.205111407778,33.333333333333,7,-2.981867211429,28.571428571429
78,平安证券上海分公司,9,-3.895134897778,22.222222222222,8,-7.73262103875,12.5,6,-6.068259965,33.333333333333,4,-3.0779882625,50.0,2,-5.521049,50.0
