序号,代码,名称,上榜日,解读,收盘价,涨跌幅,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜成交额,市场总成交额,净买额占总成交比,成交额占总成交比,换手率,流通市值,上榜原因,上榜后1日,上榜后2日,上榜后5日,上榜后10日
1,000002,万科A,2026-09-21,主力做T，成功率27.90%,3.65,9.9398,-192221507.43,460441061.71,652662569.14,1113103630.85,2931911902,-6.556182922784,37.965111778792,8.589,35460163012.1,日涨幅偏离值达到7%的前5只证券,,,,
2,000504,南华生物,2026-09-21,1家机构买入，成功率40.67%,11.01,9.99,21490230.29,68883598.29,47393368.0,116276966.29,358565216,5.99339515688,32.4284010555,1.6222,3623637601.98,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
3,000560,我爱我家,2026-09-21,2家机构买入，成功率42.58%,3.19,10.0,217005508.7,318934391.7,101928883.0,420863274.7,1304403941,16.636373279709,32.264796315883,18.5785,7473175099.61,日振幅值达到15%的前5只证券,,,,
4,000668,荣丰控股,2026-09-21,2家机构卖出，成功率27.72%,19.35,-8.0323,-23794658.0,35742777.0,59537435.0,95280212.0,160706968,-14.806239142039,59.288164779514,5.62,2841390571.5,日跌幅偏离值达到7%的前5只证券,,,,
5,000823,超声电子,2026-09-21,2家机构买入，成功率12.48%,25.2,7.7844,-199247745.78,700490622.12,899738367.9,1600228990.02,4382095039,-4.546860440194,36.517441447029,30.4799,14992290608.4,日换手率达到20%的前5只证券,,,,
6,000978,桂林旅游,2026-09-21,4家机构买入，成功率20.51%,8.39,0.3589,-24300109.79,80863154.39,105163264.18,186026418.57,1016852662,-2.38973753997,18.294333635722,26.0003,3927539913.57,日换手率达到20%的前5只证券,,,,
7,001216,华瓷股份,2026-09-21,主力做T，成功率39.67%,24.06,10.0137,3623717.78,139079256.78,135455539.0,274534795.78,1099984574,0.329433508947,24.958058710012,0.8624,5938878947.94,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
8,001317,三羊马,2026-09-21,5家机构买入，成功率38.46%,59.96,9.9982,46502493.96,180607569.96,134105076.0,314712645.96,1069318044,4.348799145486,29.431154531233,13.416,5126730919.32,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
9,001389,广合科技,2026-09-21,1家机构买入，成功率42.56%,185.93,9.9982,154854185.11,642048358.41,487194173.3,1129242531.71,2569046584,6.027690820183,43.955704763896,9.1679,28330450472.42,日涨幅偏离值达到7%的前5只证券,,,,
10,002080,中材科技,2026-09-21,1家机构买入，成功率45.99%,66.24,9.9967,555268254.64,1279412635.75,724144381.11,2003557016.86,8542074346,6.500391265033,23.455157795462,7.9419,111158906204.16,日涨幅偏离值达到7%的前5只证券,,,,
11,002285,世联行,2026-09-21,主力做T，成功率37.97%,3.18,10.0346,26230098.72,157645642.6,131415543.88,289061186.48,859237549,3.052717930045,33.641591526862,14.7277,6293249831.58,日振幅值达到15%的前5只证券,,,,
12,002528,*ST英飞,2026-09-21,主力做T，成功率29.61%,5.81,-10.0619,-50634228.4,50631600.3,101265828.7,151897429.0,764054632,-6.627042920669,19.880440826907,5.1051,6101775742.37,连续三个交易日内，跌幅偏离值累计达到20%的证券,,,,
13,002528,*ST英飞,2026-09-21,主力做T，成功率27.02%,5.81,-10.0619,-7759764.65,24486980.15,32246744.8,56733724.95,315998040,-2.455636955849,17.953821786363,5.1051,6101775742.37,日跌幅偏离值达到7%的前5只证券,,,,
14,002584,西陇科学,2026-09-21,3家机构买入，成功率24.43%,9.76,0.1026,38613817.65,231198394.84,192584577.19,423782972.03,1768872020,2.182962770252,23.957808549089,37.9983,4695919938.88,日换手率达到20%的前5只证券,,,,
15,002585,双星新材,2026-09-21,2家机构买入，成功率42.79%,12.71,10.0433,87703973.74,394150372.08,306446398.34,700596770.42,1570497640,5.58447026638,44.609858211567,14.3327,11268581625.48,日涨幅偏离值达到7%的前5只证券,,,,
16,002631,德尔未来,2026-09-21,3家机构买入，成功率38.53%,14.14,6.8783,140182404.24,524567378.8,384384974.56,908952353.36,3339989017,4.197091772652,27.214231805362,9.9665,11222774507.28,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
17,002774,快意电梯,2026-09-21,4家机构卖出，成功率11.11%,16.73,-6.4841,-88489453.0,40942394.0,129431847.0,170374241.0,375359722,-23.574573352865,45.389590575198,7.8794,4714044472.55,日跌幅偏离值达到7%的前5只证券,,,,
18,002792,通宇通讯,2026-09-21,2家机构买入，成功率39.78%,34.54,10.0,116943498.88,385141441.71,268197942.83,653339384.54,2334817508,5.008678343353,27.982460397928,20.3126,11708867577.66,日涨幅偏离值达到7%的前5只证券,,,,
19,002836,新宏泽,2026-09-21,2家机构买入，成功率37.13%,11.98,0.5034,-45990687.73,39028118.37,85018806.1,124046924.47,410160088,-11.212862751775,30.243538583891,15.1048,2760192000.0,日振幅值达到15%的前5只证券,,,,
20,002980,华盛昌,2026-09-21,3家机构卖出，成功率10.26%,118.45,-7.4826,-287994288.61,313378807.8,601373096.41,914751904.21,2202695743,-13.074628646522,41.528745271198,18.1072,11997423710.55,日跌幅偏离值达到7%的前5只证券,,,,
21,003001,中岩大地,2026-09-21,4家机构买入，成功率39.77%,20.88,4.4,42796670.29,115459396.01,72662725.72,188122121.73,611042215,7.00388111319,30.787090828086,26.233,2387648921.76,日换手率达到20%的前5只证券,,,,
22,003013,地铁设计,2026-09-21,主力做T，成功率18.56%,17.25,-10.0156,-113109418.25,26585102.0,139694520.25,166279622.25,314781433,-35.932684203137,52.823834196727,4.3488,6956278107.75,日跌幅偏离值达到7%的前5只证券,,,,
23,003026,中晶科技,2026-09-21,4家机构买入，成功率21.17%,37.89,1.8548,-19995811.95,185238964.74,205234776.69,390473741.43,1726647704,-1.158071325359,22.614557707714,32.5511,5462255743.2,日换手率达到20%的前5只证券,,,,
24,300110,华仁药业,2026-09-21,普通席位买入，成功率40.53%,3.29,20.073,2980535.17000002,135455160.08,132474624.91,267929784.99,601594888,0.495438912373,44.53657940491,15.8883,3886888602.03,日涨幅达到15%的前5只证券,,,,
25,300642,透景生命,2026-09-21,1家机构买入，成功率44.32%,20.35,19.9882,147509623.43,210367641.63,62858018.2,273225659.83,691404677,21.334773734833,39.517473473787,25.7357,2802308369.85,日涨幅达到15%的前5只证券,,,,
26,300691,联合光电,2026-09-21,1家机构买入，成功率17.29%,17.76,20.0,15681200.63,135365100.48,119683899.85,255049000.33,504945995,3.105520349755,50.510154126482,13.5621,3920309011.2,日涨幅达到15%的前5只证券,,,,
27,300829,金丹科技,2026-09-21,5家机构买入，成功率38.46%,25.72,20.0187,17825281.73,321572453.09,303747171.36,625319624.45,2008555577,0.887467687433,31.132801681494,19.3939,4324350693.32,连续三个交易日内，涨幅偏离值累计达到30%的证券,,,,
28,300829,金丹科技,2026-09-21,3家机构买入，成功率42.78%,25.72,20.0187,76294648.62,182786618.72,106491970.1,289278588.82,779988888,9.781504556511,37.087526921281,19.3939,4324350693.32,日涨幅达到15%的前5只证券,,,,
29,301008,宏昌科技,2026-09-21,3家机构买入，成功率30.22%,52.09,15.2179,53151671.47,261180916.42,208029244.95,469210161.37,1203293935,4.417181033161,38.993810882127,19.9881,6023725834.06,日涨幅达到15%的前5只证券,,,,
30,301520,万邦医药,2026-09-21,2家机构买入，成功率39.59%,82.38,14.2897,2491286.72,105080109.81,102588823.09,207668932.9,1374343568,0.181271028439,15.110408906138,53.9671,2693697734.34,日换手率达到30%的前5只证券,,,,
31,301583,托伦斯,2026-09-21,1家机构卖出，成功率39.82%,140.2,-1.6554,-72770562.46,319453876.36,392224438.82,711678315.18,1648877533,-4.413339438715,43.161381056916,38.5101,4322558494.6,日换手率达到30%的前5只证券,,,,
32,301688,格林生物,2026-09-21,3家机构买入，成功率40.87%,40.0,2.2756,2306910.44,50448877.36,48141966.92,98590844.28,374093788,0.616666331813,26.354579370882,36.1653,1039398120.0,日换手率达到30%的前5只证券,,,,
33,301689,电科思仪,2026-09-21,2家机构卖出，成功率15.02%,62.7,-0.4762,-89533771.11,193951080.26,283484851.37,477435931.63,1920132763,-4.662894818279,24.864735440692,52.9635,3609103040.4,日换手率达到30%的前5只证券,,,,
34,301699,洛轴股份,2026-09-21,3家机构卖出，成功率31.43%,31.41,-2.18,56878404.82,154982920.57,98104515.75,253087436.32,954342517,5.959957123025,26.519559991478,42.7242,2196546813.09,日换手率达到30%的前5只证券,,,,
35,600088,中视传媒,2026-09-21,卖一主卖，成功率42.88%,14.81,-6.0279,-12111272.57,51593822.53,63705095.1,115298917.63,613934104,-1.972731680988,18.780340899583,10.4484,5890031784.0,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券,,,,
36,600127,金健米业,2026-09-21,普通席位买入，成功率53.16%,15.75,9.986,25105845.95,424809291.9,399703445.95,824512737.85,2756484586,0.910792176293,29.911748537889,28.4482,10108085683.5,有价格涨跌幅限制的日换手率达到20%的前五只证券,,,,
37,600325,华发股份,2026-09-21,买一主买，成功率41.74%,2.73,10.0806,27601736.62,90633429.18,63031692.56,153665121.74,418253706,6.599280825022,36.739691611962,5.8455,7513375276.68,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,,,,
38,600448,华纺股份,2026-09-21,普通席位买入，成功率42.94%,3.89,9.887,-65060120.2,60617780.0,125677900.2,186295680.2,938093849,-6.93535303204,19.858959783031,39.3342,2449998485.18,有价格涨跌幅限制的日换手率达到20%的前五只证券,,,,
39,600593,大连圣亚,2026-09-21,买一主买，成功率42.24%,48.57,10.0113,138234048.54,366757216.47,228523167.93,595280384.4,1947008778,7.09981640052,30.574098644357,12.0584,6255816000.0,非S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,,,,
40,600606,绿地控股,2026-09-21,普通席位买入，成功率35.56%,1.6,10.3448,18343397.41,153000130.03,134656732.62,287656862.65,847489744,2.164438866649,33.942223453031,3.9575,22486749302.4,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,,,,
41,600606,绿地控股,2026-09-21,普通席位买入，成功率42.02%,1.6,10.3448,109065654.42,313817151.5,204751497.08,518568648.58,1553031211,7.022759983669,33.390742240531,3.9575,22486749302.4,非S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,,,,
42,600712,南宁百货,2026-09-21,买一主买，成功率42.54%,5.89,10.0935,21641710.18,86010399.8,64368689.62,150379089.42,420821019,5.142735082822,35.734690671428,13.5927,3172638905.19,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,,,,
43,600721,百花医药,2026-09-21,普通席位买入，成功率44.95%,13.15,10.0418,166260262.0,305907979.0,139647717.0,445555696.0,1415415480,11.746392797682,31.478792078775,29.0224,5056801400.25,有价格涨跌幅限制的日换手率达到20%的前五只证券,,,,
44,600721,百花医药,2026-09-21,普通席位买入，成功率44.95%,13.15,10.0418,166260262.0,305907979.0,139647717.0,445555696.0,1415415480,11.746392797682,31.478792078775,29.0224,5056801400.25,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,,,,
