序号,代码,名称,上榜日,解读,收盘价,涨跌幅,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜成交额,市场总成交额,净买额占总成交比,成交额占总成交比,换手率,流通市值,上榜原因,上榜后1日,上榜后2日,上榜后5日,上榜后10日
25,002667,*ST威领,2026-08-13,2家机构卖出，成功率37.78%,13.6,-9.6346,3980531.0,72514806.0,68534275.0,141049081.0,319885503.0,1.244361173817,44.093614645613,9.487,3217909600.0,日跌幅偏离值达到7%的前5只证券,,,,
26,002792,通宇通讯,2026-08-13,1家机构买入，成功率42.90%,38.63,4.0959,130271243.66,500963397.83,370692154.17,871655552.0,3884067063.0,3.353990586336,22.44182548503,30.4819,13050159739.66,日换手率达到20%的前5只证券,,,,
27,002827,高争民爆,2026-08-13,西藏自治区资金卖出，成功率29.27%,55.1,-9.9967,-10014337.0,66764376.0,76778713.0,143543089.0,1257910581.0,-0.796108813397,11.411231542856,7.8651,15207529747.5,日跌幅偏离值达到7%的前5只证券,,,,
28,003032,传智教育,2026-08-13,主力做T，成功率29.47%,11.62,-9.9923,-26594408.6,72540400.38,99134808.98,171675209.36,1118386497.0,-2.377926474554,15.350257698972,32.8849,3305676284.96,日跌幅偏离值达到7%的前5只证券,,,,
29,003032,传智教育,2026-08-13,主力做T，成功率29.47%,11.62,-9.9923,-26594408.6,72540400.38,99134808.98,171675209.36,1118386497.0,-2.377926474554,15.350257698972,32.8849,3305676284.96,日换手率达到20%的前5只证券,,,,
30,110103,N申能转,2026-08-13,,157.3,57.3,148137260.0,165671510.0,17534250.0,183205760.0,194648690.0,76.104935512281,94.121239654888,,,向不特定对象发行的可转债上市首日交易公开信息,,,,
31,118073,赛斯转债,2026-08-13,,188.76,20.0,-11497640.0,57083810.0,68581450.0,125665260.0,291207760.0,-3.94826016999,43.153128886401,,,"非上市首日,当日收盘价涨幅达15%的前五只可转债",,,,
32,118074,N特宝转,2026-08-13,,157.3,57.3,28977030.0,37637980.0,8660950.0,46298930.0,46159960.0,62.775249371967,100.301061786015,,,向不特定对象发行的可转债上市首日交易公开信息,,,,
33,127115,炬申转债,2026-08-13,,157.3,57.3,13282730.5,14951319.5,1668589.0,16619908.5,14951320.0,88.839851598387,111.16014171324,,,上市首日可转债,,,,
34,300404,博济医药,2026-08-13,3家机构买入，成功率38.14%,14.45,20.0166,62985173.34,161160529.83,98175356.49,259335886.32,822925499.0,7.653812333746,31.513896049538,21.4299,4125700593.4,日涨幅达到15%的前5只证券,,,,
35,300534,陇神戎发,2026-08-13,4家机构买入，成功率41.94%,18.92,19.9746,266451910.0,386947981.0,120496071.0,507444052.0,1730725301.0,15.39539000476,29.319733854171,34.1073,5714814152.96,日换手率达到30%的前5只证券,,,,
36,300534,陇神戎发,2026-08-13,4家机构买入，成功率41.94%,18.92,19.9746,266451910.0,386947981.0,120496071.0,507444052.0,1730725301.0,15.39539000476,29.319733854171,34.1073,5714814152.96,日涨幅达到15%的前5只证券,,,,
37,300862,蓝盾光电,2026-08-13,主力做T，成功率9.33%,39.41,20.0061,0.0,515521348.33,515521348.33,1031042696.66,515521348.33,0.0,200.0,6.8709,5969472385.87,严重异常期间日收盘价格涨幅偏离值累计达到100%的证券,,,,
38,300862,蓝盾光电,2026-08-13,普通席位买入，成功率49.67%,39.41,20.0061,12702013.0,121490683.0,108788670.0,230279353.0,478351375.0,2.655372946299,48.140209276079,6.8709,5969472385.87,连续三个交易日内，涨幅偏离值累计达到30%的证券,,,,
39,300937,药易购,2026-08-13,2家机构买入，成功率43.35%,31.7,19.9849,82173240.03,130100763.78,47927523.75,178028287.53,553077433.0,14.857456682743,32.188673214226,29.4273,2056194569.4,日涨幅达到15%的前5只证券,,,,
40,300996,普联软件,2026-08-13,1家机构卖出，成功率47.48%,17.7,-10.5157,-44321135.81,141965374.1,186286509.91,328251884.01,2084862401.0,-2.125854242886,15.744534692196,32.8688,5896618780.8,日换手率达到30%的前5只证券,,,,
41,301060,兰卫医学,2026-08-13,2家机构买入，成功率40.25%,11.96,19.9599,51060951.12,110648487.6,59587536.48,170236024.08,426154367.0,11.981796990479,39.947032639466,10.6515,4307590227.72,日涨幅达到15%的前5只证券,,,,
42,301520,万邦医药,2026-08-13,3家机构买入，成功率27.58%,88.68,20.0,60101041.44,274907136.74,214806095.3,489713232.04,1276425647.0,4.708542293964,38.365981848687,49.2848,2899697925.24,日涨幅达到15%的前5只证券,,,,
43,301520,万邦医药,2026-08-13,主力做T，成功率3.73%,88.68,20.0,0.0,7936555759.29,7936555759.29,15873111518.58,7936555759.29,0.0,200.0,49.2848,2899697925.24,严重异常期间日收盘价格涨幅偏离值累计达到100%的证券,,,,
44,301520,万邦医药,2026-08-13,3家机构买入，成功率27.58%,88.68,20.0,60101041.44,274907136.74,214806095.3,489713232.04,1276425647.0,4.708542293964,38.365981848687,49.2848,2899697925.24,日换手率达到30%的前5只证券,,,,
45,301529,福赛科技,2026-08-13,3家机构买入，成功率14.21%,106.32,7.3831,-17485432.01,354279434.32,371764866.33,726044300.65,1828452121.0,-0.956296957912,39.708138502031,9.8934,6758408779.68,连续三个交易日内，涨幅偏离值累计达到30%的证券,,,,
46,301583,托伦斯,2026-08-13,5家机构卖出，成功率10.82%,155.1,-5.4268,-65500074.74,189000805.02,254500879.76,443501684.78,1743527739.0,-3.756755529314,25.437030616695,34.9043,4781945952.3,日换手率达到30%的前5只证券,,,,
47,301591,肯特股份,2026-08-13,3家机构买入，成功率40.86%,34.81,10.543,42925179.19,105128982.66,62203803.47,167332786.13,538687242.0,7.968478895218,31.063068341611,34.8984,1555824177.88,日换手率达到30%的前5只证券,,,,
48,301602,超研股份,2026-08-13,1家机构买入，成功率2.00%,20.4,10.9902,-5166240.76000001,111009279.3,116175520.06,227184799.36,795028767.0,-0.649818091425,28.575670314078,14.1223,4253387576.4,连续三个交易日内，涨幅偏离值累计达到30%的证券,,,,
49,600272,开开实业,2026-08-13,普通席位卖出，成功率30.80%,16.0,-7.3538,-34087986.82,68726348.5,102814335.32,171540683.82,843876031.0,-4.039454323594,20.327711360248,32.7605,2594400000.0,有价格涨跌幅限制的日换手率达到20%的前五只证券,,,,
