序号,代码,名称,上榜日,解读,收盘价,涨跌幅,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜成交额,市场总成交额,净买额占总成交比,成交额占总成交比,换手率,流通市值,上榜原因
50,603618,杭电股份,2026-08-14,,,,653458598.24,653458598.24,0.0,653458598.24,,,,,,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
51,603682,锦和商管,2026-08-14,,,,86473594.0,86473594.0,0.0,86473594.0,,,,,,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
52,603696,安记食品,2026-08-14,,,,31344591.0,31344591.0,0.0,31344591.0,,,,,,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
53,603890,春秋电子,2026-08-14,,,,222424517.78,222424517.78,0.0,222424517.78,,,,,,非S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
54,605286,同力天启,2026-08-14,,,,37846148.0,37846148.0,0.0,37846148.0,,,,,,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
55,688137,近岸蛋白,2026-08-14,,,,153906145.5,153906145.5,0.0,153906145.5,,,,,,有价格涨跌幅限制的连续3个交易日内收盘价格涨幅偏离值累计达到30%的证券
56,688143,长盈通,2026-08-14,,,,1106979896.09,1106979896.09,0.0,1106979896.09,,,,,,有价格涨跌幅限制的连续3个交易日内收盘价格涨幅偏离值累计达到30%的证券
57,688167,炬光科技,2026-08-14,,,,1376912824.07,1376912824.07,0.0,1376912824.07,,,,,,有价格涨跌幅限制的连续3个交易日内收盘价格涨幅偏离值累计达到30%的证券
58,688286,敏芯股份,2026-08-14,,,,181133063.03,181133063.03,0.0,181133063.03,,,,,,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
59,688485,九州一轨,2026-08-14,,,,287273683.88,287273683.88,0.0,287273683.88,,,,,,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
60,688635,长进光子,2026-08-14,,,,942329179.3,942329179.3,0.0,942329179.3,,,,,,有价格涨跌幅限制的连续3个交易日内收盘价格涨幅偏离值累计达到30%的证券;有价格涨跌幅限制的日换手率达到30%的前五只证券
61,688662,富信科技,2026-08-14,,,,380921449.0,380921449.0,0.0,380921449.0,,,,,,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
62,920083,金戈新材,2026-08-14,,,,29108502.79,42271158.49,13162655.7,55433814.19,,,,,,当日收盘价涨幅达到20%的前5只股票
63,920117,龙鑫智能,2026-08-14,,,,44649604.44,51179479.89,6529875.45,57709355.34,,,,,,当日换手率达到20%的前5只股票
64,920138,杰理科技,2026-08-14,,,,12917305.96,32876829.89,19959523.93,52836353.82,,,,,,当日换手率达到20%的前5只股票
65,920161,龙辰科技,2026-08-14,,,,28846520.01,42494366.11,13647846.1,56142212.21,,,,,,当日换手率达到20%的前5只股票
66,920165,珈凯生物,2026-08-14,,,,10444727.26,14470420.02,4025692.76,18496112.78,,,,,,当日换手率达到20%的前5只股票
67,920367,新赣江,2026-08-14,,,,5482090.95,35416729.7,29934638.75,65351368.45,,,,,,当日换手率达到20%的前5只股票
