序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,300862,蓝盾光电,19.9949,47.29,3494569100.00,7163063900.000,8730580585.58,51.685,31282288.0,101357,,6,5/5,5,环保设备
2,000936,华西股份,9.9369,6.97,951168430.00,6174634700.000,6175509822.39,15.452,43942490.0,092500,,7,3/3,3,化学纤维
3,001260,坤泰股份,9.9857,23.13,29927907.00,2659950000.000,2659950000,1.125,336990220.0,092500,,,3/3,3,汽车零部
4,002081,金螳螂,9.9792,5.29,2648471300.00,13988047000.000,14046662314.81,19.719,93738440.0,101648,,1,3/3,3,建筑装饰
5,002172,澳洋健康,9.9274,4.54,86716415.00,3473738900.000,3476424914.4,2.496,136260240.0,092500,,,3/3,3,医疗服务
6,603330,天洋新材,9.9897,10.68,268205500.00,4620954600.000,4620954571.32,5.866,93635437.0,093047,,,3/3,3,塑料制品
7,002322,理工能科,10.0337,13.05,322804120.00,4585521100.000,4770140008.5,7.146,39990420.0,093130,,2,2/2,2,软件开发
8,002724,海洋王,10.0649,6.78,133662850.00,3849515200.000,5230756399.32,3.474,100147380.0,093000,,,2/2,2,光学光电
9,300404,博济医药,20.0,17.34,1320038760.00,4950840700.000,6688886584.92,27.532,73662453.0,093518,,8,2/2,2,医疗服务
10,600613,神奇制药,9.9485,6.41,80085303.00,3072441100.000,3249714889.168,2.607,149224110.0,092501,,,2/2,2,化学制药
11,603118,共进股份,10.0251,17.56,1949605800.00,13824574000.000,13824573689.36,14.306,92147856.0,093244,,12,2/2,2,通信设备
12,000620,盈新发展,10.1818,3.03,1582394900.00,14155399000.000,17791599571.2,11.622,120398913.0,133400,,,1/1,1,房地产
13,000831,中国稀土,9.9982,60.95,5416567500.00,64681408000.000,64681408186.65,8.536,99880776.0,095321,,1,1/1,1,小金属
14,000950,重药控股,9.965,6.29,370880610.00,10773374200.000,10773374223.84,3.511,36496448.0,094630,,,1/1,1,医药商业
15,002418,康盛股份,10.0,4.07,327087280.00,4625135900.000,4625148000,7.113,32913683.0,093100,,1,1/1,1,白色家电
16,002628,成都路桥,10.099,5.56,291031610.00,4191043500.000,4209478307.4,7.268,31730264.0,142109,,,1/1,1,建筑装饰
17,002645,华宏科技,9.9846,21.48,1049041070.00,14610986000.000,16177026879.36,7.395,89854706.0,135648,,,1/1,1,环境治理
18,002651,利君股份,9.9607,8.39,146682210.00,4744239900.000,8670729400,3.155,61353075.0,094500,,,1/1,1,军工装备
19,002658,雪迪龙,10.0267,8.23,183961900.00,2950961100.000,5232312404.52,6.408,85697895.0,102433,,,1/1,1,环保设备
20,002726,ST龙大,,,276677160.00,3169535400.000,3171443629.65,9.006,8394640.5,143817,,,1/1,1,食品加工
21,002766,索菱股份,10.0244,4.5,314007480.00,3856401400.000,3869306208,8.476,128417400.0,131618,,,1/1,1,汽车零部
22,002774,快意电梯,10.0313,17.55,192939690.00,4945031600.000,5908872645,3.995,39743730.0,093827,,,1/1,1,专用设备
23,002811,郑中设计,10.0292,11.3,93690499.00,3193232600.000,3480061056.5,3.048,50357320.0,102227,,,1/1,1,建筑装饰
24,002820,桂发祥,9.9783,10.14,133831257.00,2036804500.000,2036804511.3,6.880,34831711.0,110724,,,1/1,1,食品加工
25,002907,华森制药,10.0216,15.26,82440807.00,5124562700.000,6372519751.64,1.609,131789755.0,092500,,,1/1,1,中药
26,002951,金时科技,10.0061,18.14,292007980.00,7276351200.000,7311579146,4.060,40624530.0,093330,,3,1/1,1,其他电源
27,002988,豪美新材,10.0094,23.3,134563040.00,5820444800.000,5820444756.8,2.420,56458230.0,143409,,,1/1,1,工业金属
28,002989,中天精装,10.0217,25.36,233359650.00,5017094800.000,5113012648.48,4.850,80256792.0,135630,,,1/1,1,建筑装饰
29,003031,中瓷电子,10.0042,130.08,1631796100.00,44247583000.000,58672955898.72,3.844,161724560.0,142630,,,1/1,1,通信设备
30,300017,网宿科技,20.0139,17.33,7662499200.00,41010918000.000,43250217185.41,20.304,258819490.0,141454,,,1/1,1,IT服务
31,300120,经纬辉开,19.9482,9.26,903252370.00,4884159200.000,5318887782.54,20.490,27958718.0,145354,,1,1/1,1,光学光电
32,300684,中石科技,20.0071,67.36,286464770.00,13780184000.000,20174941261.28,2.079,1043006080.0,092500,,,1/1,1,电子化学
33,300929,华骐环保,19.9715,16.82,201531330.00,2108561100.000,2222476319.92,10.335,42214752.0,131227,,,1/1,1,环境治理
34,301130,西点药业,19.9922,30.85,319398210.00,1820685600.000,2359861032.25,17.975,8101981.3,095548,,11,1/1,1,化学制药
35,301419,阿莱德,20.0,37.62,437866170.00,3730333400.000,5643000000,12.308,166475570.0,103142,,,1/1,1,通信设备
36,600186,莲花控股,9.9726,12.02,3518677900.00,21505442000.000,21549030984.82,16.884,198537750.0,100256,,2,1/1,1,食品加工
37,600198,大唐电信,9.9579,7.84,416085820.00,10207286500.000,10220251761.44,4.128,89303872.0,093623,,1,1/1,1,半导体
38,600272,开开实业,10.0,17.6,765437940.00,2816000000.000,3454690840,28.152,28960448.0,094400,,1,7/6,1,医药商业
39,600288,大恒科技,9.9834,13.22,638464910.00,5774496000.000,5774496000,11.261,88612259.0,094135,,1,1/1,1,软件开发
40,600353,旭光电子,9.9965,31.03,2071321700.00,25718010000.000,25718010263.77,8.366,224740980.0,133952,,,1/1,1,其他电子
41,600487,亨通光电,10.0087,62.98,19196728000.00,154530640000.000,155333384345.86,12.972,844234930.0,135906,,1,1/1,1,通信设备
42,600645,中源协和,10.0,22.33,998376170.00,10445307800.000,10449298713.7,9.664,36212985.0,093004,,2,1/1,1,医疗器械
43,600769,祥龙电业,9.9933,16.51,311436780.00,6190873600.000,6190873572,5.263,31218759.0,135138,,,1/1,1,环境治理
44,600815,厦工股份,9.9448,3.98,429874260.00,7060896000.000,7060896030.4,6.415,26070194.0,142019,,,1/1,1,工程机械
45,600829,人民同泰,10.0465,11.83,565271890.00,6860082100.000,6860082102.51,8.788,62722660.0,144204,,,1/1,1,医药商业
46,601609,金田股份,10.0503,10.95,636052610.00,18928588000.000,18928588213.35,3.425,59572851.0,094731,,1,1/1,1,工业金属
47,603025,大豪科技,10.0,15.18,315161430.00,16837273000.000,16950819454.14,1.882,41358517.0,093044,,2,1/1,1,自动化设
48,603079,圣达生物,10.0082,13.41,116588443.00,2534887300.000,2534887257.84,4.738,67033385.0,104402,,1,1/1,1,化学制品
49,603083,剑桥科技,10.0,185.9,7130649400.00,51231879000.000,59263172066.7,14.435,308142820.0,104111,,1,1/1,1,通信设备
50,603089,正裕工业,10.0451,9.75,58832130.00,2340324400.000,2688262502.25,2.576,13255125.0,101502,,2,1/1,1,汽车零部
51,603095,越剑智能,10.0147,14.94,119247990.00,3858541800.000,3858541848,3.182,46371190.0,093542,,,3/2,1,专用设备
52,603115,海星股份,10.0026,85.45,1370645100.00,20899583000.000,20899583170,6.817,110093780.0,142648,,,1/1,1,电子化学
53,603177,德创环保,10.0,10.23,96993120.00,2088884200.000,2088884160,4.790,39937920.0,110157,,,1/1,1,环境治理
54,603186,华正新材,9.9987,167.55,1538855200.00,26270251000.000,26270251290.9,6.021,382164800.0,093730,,,1/1,1,元件
55,603382,海阳科技,9.979,20.94,143352480.00,2418274500.000,3795403645.92,6.054,26683486.0,094438,,,1/1,1,化学纤维
56,603618,杭电股份,10.0184,29.87,3281343100.00,20651390000.000,20651389649.92,16.374,152178690.0,103542,,3,1/1,1,电网设备
57,603629,利通电子,10.0,137.5,8869939500.00,49599468000.000,50425100000,18.829,303949250.0,141943,,1,1/1,1,IT服务
58,603725,天安新材,9.982,12.23,382505870.00,3728409400.000,3728409426.4,10.377,54258150.0,093452,,1,1/1,1,家居用品
59,603881,数据港,10.0,29.04,2801935900.00,25034002000.000,25034001666.96,11.827,219449330.0,134420,,,1/1,1,通信服务
60,603989,艾华集团,10.0033,32.99,1385909300.00,13155747600.000,13155747581.4,10.680,181963800.0,093530,,4,1/1,1,元件
61,688286,敏芯股份,20.009,53.56,615181940.00,4194472200.000,4194472184.76,15.568,93812215.0,135140,,,1/1,1,半导体
62,688485,九州一轨,20.0067,72.1,1278614810.00,10836057700.000,10836057670.2,12.253,1875393.1,104558,,2,1/1,1,环境治理
63,688662,富信科技,20.0,98.4,1687193500.00,11287035400.000,11287035369.6,15.520,98358180.0,101547,,1,1/1,1,其他电子
64,920083,金戈新材,,,327160840.00,1554769500.000,3650228791.86,23.334,1.718177355E7,135302,,,1/1,1,非金属材
