日,代码,名称,席位,买入金额,买占比,卖出金额,净额,类型
20260421,000890,法尔胜,国信证券股份有限公司浙江互联网分公司,19343412.37,0.014951857645,17310185.0,2033227.37,日振幅值达到15%的前5只证券
20260421,000890,法尔胜,申万宏源证券有限公司济南历山路证券营业部,18052227.0,0.013953811412,37430.0,18014797.0,日振幅值达到15%的前5只证券
20260421,000890,法尔胜,广发证券股份有限公司南京汉中路证券营业部,14468387.0,0.011183614278,68874.0,14399513.0,日振幅值达到15%的前5只证券
20260421,000890,法尔胜,广发证券股份有限公司南京泰山路证券营业部,12263376.0,0.009479209184,8357191.0,3906185.0,日振幅值达到15%的前5只证券
20260421,000890,法尔胜,中信建投证券股份有限公司北京鸿翼分公司,10996533.0,0.008499978848,7667390.99,3329142.01,日振幅值达到15%的前5只证券
20260421,001312,福恩股份,东方财富证券股份有限公司拉萨金融城南环路证券营业部,17701816.03,0.013068279773,6020411.06,11681404.97,无价格涨跌幅限制的证券
20260421,001312,福恩股份,东方财富证券股份有限公司拉萨团结路第一证券营业部,17104206.79,0.012627097652,7680940.46,9423266.33,无价格涨跌幅限制的证券
20260421,001312,福恩股份,国信证券股份有限公司浙江互联网分公司,16819102.96,0.012416621133,1873740.3,14945362.66,无价格涨跌幅限制的证券
20260421,001312,福恩股份,东方财富证券股份有限公司拉萨东环路第二证券营业部,16602054.58,0.01225638622,8926309.55,7675745.03,无价格涨跌幅限制的证券
20260421,001312,福恩股份,招商证券股份有限公司上海牡丹江路证券营业部,15773112.43,0.011644423701,4842054.76,10931057.67,无价格涨跌幅限制的证券
20260421,001400,江顺科技,机构专用,53461930.9,0.030250348124,52044294.9,1417636.0,连续三个交易日内，涨幅偏离值累计达到20%的证券
20260421,002201,九鼎新材,国泰海通证券股份有限公司武汉紫阳东路证券营业部,127836653.16,0.102762442743,43418.0,127793235.16,日涨幅偏离值达到7%的前5只证券
20260421,002201,九鼎新材,开源证券股份有限公司西安太华路证券营业部,61642216.71,0.049551553554,1303.0,61640913.71,日涨幅偏离值达到7%的前5只证券
20260421,002201,九鼎新材,深股通专用,31398950.78,0.0252402797,23890628.8,7508321.98,日涨幅偏离值达到7%的前5只证券
20260421,002201,九鼎新材,东吴证券股份有限公司嘉兴中山西路证券营业部,12930207.0,0.010394042895,12896250.0,33957.0,日涨幅偏离值达到7%的前5只证券
20260421,002201,九鼎新材,东方财富证券股份有限公司拉萨金融城南环路证券营业部,10950461.68,0.008802609921,8716053.16,2234408.52,日涨幅偏离值达到7%的前5只证券
20260421,002217,ST合力泰,深股通专用,204194188.3,0.033156577376,231710437.0,-27516248.7,连续三个交易日内，涨幅偏离值累计达到20%的证券
20260421,002217,ST合力泰,广发证券股份有限公司杭州富春路证券营业部,80213704.0,0.013024914692,82428702.0,-2214998.0,连续三个交易日内，涨幅偏离值累计达到20%的证券
20260421,002217,ST合力泰,国泰海通证券股份有限公司南京太平南路证券营业部,61626982.0,0.010006846003,66819173.0,-5192191.0,连续三个交易日内，涨幅偏离值累计达到20%的证券
